num_layers,top_k,BLEU,STA,FLU,SEM,J,BLEURT
3,1,0.6026095571200213,0.93,0.651134,0.9268200579285621,0.8081127258356445,0.1616494531929493
3,2,0.5222195841712205,0.955,0.6748707,0.9095134007930755,0.8033207428821414,0.02524735117331147
3,3,0.4489498338058376,0.96,0.6735011,0.8945363727211952,0.7873974561682301,-0.08892614433541894
3,4,0.3692965816571946,0.96,0.69185317,0.8822170302271843,0.772673355502181,-0.20173960426822304
3,5,0.31215002703822153,0.955,0.7229307,0.8648774135112762,0.7619916339877377,-0.2969682102650404
1,1,0.5710960225456585,0.915,0.6548384,0.9198894375562667,0.795164768659942,0.11633608607575298
2,1,0.5950708230577648,0.93,0.65563804,0.9223749563097954,0.8066167636959304,0.128847759347409
3,1,0.6026095571200213,0.93,0.651134,0.9268200579285621,0.8081127258356445,0.1616494531929493
4,1,0.6058734108944906,0.935,0.65389925,0.92825580149889,0.8116056929616169,0.1674785141646862
5,1,0.6085371251494993,0.93,0.6560982,0.9285206943750381,0.810631201298859,0.16757461205124854
6,1,0.6115239184108204,0.935,0.65334433,0.928532358109951,0.8126801219385233,0.1681244857609272
7,1,0.6122634695371273,0.935,0.65334123,0.9286766365170479,0.8128562679568984,0.16760685451328755
8,1,0.6054190520529834,0.935,0.6526865,0.9281736394762993,0.8112558336473483,0.16163912445306777
9,1,0.6054190520529834,0.935,0.65237504,0.9281742504239082,0.8111936689830798,0.16225005090236663
10,1,0.6049175981184357,0.935,0.65267336,0.9287509921193123,0.8112683907846712,0.17240427747368814
11,1,0.6052870281961441,0.94,0.6528389,0.9285204172134399,0.8133292662387467,0.16925894504413008
12,1,0.6055094036561601,0.94,0.6531546,0.9285340175032616,0.8134396065493892,0.16860066359862685
