num_layers,top_k,BLEU,STA,FLU,SEM,J,BLEURT
3,1,0.5916202395995542,0.935,0.68902975,0.9247614502906799,0.8150822886196789,0.1659608257561922
3,2,0.5105016632245174,0.96,0.67491674,0.9087054204940795,0.802824765590155,0.04063472172245383
3,3,0.4470282282869843,0.96,0.6996315,0.8949919408559799,0.7923303362616068,-0.04665792036801577
3,4,0.35125081576837297,0.97,0.7368832,0.8815797632932663,0.7819427604236866,-0.1390803291462362
3,5,0.2845121958112004,0.975,0.7692378,0.8610251355171203,0.7729550295324183,-0.22198952423408627
1,1,0.5591143127287329,0.93,0.6929996,0.9161273685097694,0.8056482565205276,0.10744292275980115
2,1,0.578563894657336,0.935,0.6879599,0.9206805956363678,0.8114408799465582,0.13547964721918107
3,1,0.5916202395995542,0.935,0.68902975,0.9247614502906799,0.8150822886196789,0.1659608257561922
4,1,0.5946127032188698,0.935,0.6889698,0.9254611250758171,0.8158087238460408,0.16382925935089587
5,1,0.5935707897091593,0.935,0.6893814,0.9254522922635079,0.8156809005170005,0.16584943003952504
6,1,0.5942227721767989,0.94,0.6864566,0.925297277867794,0.8171953341475601,0.15910020269453526
7,1,0.5946028676983652,0.94,0.6864692,0.9254927763342857,0.817312968261181,0.15901574023067952
8,1,0.5901255860515102,0.94,0.6855109,0.9250628286600113,0.8161398577012156,0.15112117620185017
9,1,0.5901255860515102,0.94,0.6855109,0.9250628286600113,0.8161398577012156,0.15112117620185017
10,1,0.5875621881805545,0.935,0.6873441,0.9250913375616073,0.8139995199982859,0.15174911426380278
11,1,0.5889543216143416,0.945,0.68722504,0.9250130549073219,0.818238484059063,0.15052369536831975
12,1,0.5891720488365787,0.94,0.68722993,0.9251175445318222,0.8163039049445847,0.1504283401556313
